listID	BCID	TAG	k	a	b	s_mean	s_var	log_normalization	log_prob_survive_cummulated	 log10 Bayes Factor
25	28	Adaptive	70.79190794895553	157814.06803579783	0.4325119422359694	0.44142010155021033	0.0020888211371887034	-6.693357872348626	0.0	2.7096814134413822
29	33	Adaptive	51.26256225980085	245812.64359384027	0.40745694404784766	0.6230180852283504	0.002513304481133711	-7.9831618127716855	-6.894596005248452e-12	-3.4670431234304986
36	40	Neutral	9.078390221480788	1289.1351944622058	0.4023065687682959	0.0733355058143378	0.0020788809228623286	-1.9337594879852373	-2.2920131288439858e-05	2.042439192064223
24	27	Adaptive	62.83774068358435	116829.91090808804	0.40563508072252974	0.455540473085524	0.0019557503470045354	-7.302554528657695	0.0	-3.1714591355936395
26	29	Adaptive	90.15353509158332	357161.6367683771	0.3839539770858495	0.4763858536451758	0.001565680830321978	-7.840669959665931	0.0	2.6682160460013113
34	38	Adaptive	18.23702470644439	10877.52678420618	0.3790438460584168	0.4281549733284967	0.003297747687864452	-5.194504538822537	-4.3383348445759986e-08	-2.255944676273173
35	39	Adaptive	20.40392950286619	4339.286928509662	0.3358682762849953	0.15093250808065017	0.0017010348736596114	-5.191994656524843	-1.1102230246251565e-16	2.480873896371686
33	37	Adaptive	68.96377733180844	21394.912341307405	0.3752720877456358	0.1397484424601123	0.0013589157065725017	-5.895348249679012	0.0	3.1836686384830832
40	44	Adaptive	37.206319146596144	31431.947078394558	0.40686312321075746	0.3705262975911128	0.002192912040018069	-5.931608217824433	0.0	2.5924901943707175
39	43	Adaptive	45.62917612657947	165289.5071748074	0.43012197873728875	0.586289222788019	0.002824522593455297	-7.860466763149246	-8.764100556394826e-13	1.6809022570878065
41	45	Adaptive	15.772319169466936	2314.756669900446	0.3523016667611139	0.043391505336705986	0.0016273984272123692	-4.3761101230815544	-3.096402028466193e-09	3.48291297374816
37	41	Adaptive	8.936620005756895	2062.6188844225194	0.41621996616929097	0.19693036680785586	0.0030005266048781037	-2.624929335526925	-8.412200601321866e-08	-1.139992362339036
38	42	Adaptive	22.62082546309903	16903.232891642867	0.38805902427999267	0.46338788716932794	0.003127963334443094	-5.451143624722937	-7.871144888399199e-08	1.772296097388523
43	47	Adaptive	26.334550046031193	17418.113859598918	0.3886507326966847	0.41562698342697074	0.002703437507026105	-5.229542493591763	-1.4614243150037188e-10	1.920676045501859
42	46	Adaptive	46.10405238642276	102443.60109577987	0.4941408279619542	0.49306614992414	0.0030620947504607253	-6.223435081005544	0.0	2.6917469231438202
46	50	Neutral	8.89665003171761	1099.1549002634845	0.25810683356372444	0.06111460217267373	0.0019817455550573326	-3.023387055860077	-5.520339342757021e-06	3.9415118089054806
48	52	Adaptive	38.14017854073147	18355.2046139241	0.3025068382070481	0.3354584060671333	0.0014507846310187107	-6.407269902342316	0.0	-2.7826419626520553
45	49	Adaptive	16.664156614505366	3445.7907853527913	0.28236792714529874	0.2582927841425749	0.002299085549981235	-6.076286765650362	-3.975042517371952e-12	1.1866082887753675
53	57	Adaptive	66.08545392161068	55695.23930914306	0.30504410707663043	0.33820657516618596	0.0011220480152144671	-7.498323014683622	0.0	-3.2564803088052536
47	51	Adaptive	41.3523613608176	50897.128569498935	0.41701665413587136	0.4311589200103594	0.0024097101065410284	-6.125468323642958	0.0	2.7928529675195777
49	53	Adaptive	119.17722245252018	153635.58573234148	0.3159055219128682	0.32119577527251675	0.0009741367829942565	-7.514393159621483	0.0	-3.263459484075152
52	56	Adaptive	22.422330601235966	52861.571878229675	0.49896853558940385	0.6063668953001538	0.004719286318584157	-5.743039042235608	-0.0002821505963601954	-2.4942927018449264
51	55	Adaptive	23.535759405282295	5056.422621959348	0.32840521382534404	0.15955244112032196	0.0014051449286197318	-4.23800717862045	0.0	-1.8405431319412304
44	48	Adaptive	122.99466696828259	6493504.121797959	0.40152566930425065	0.6712648139847118	0.0015282090144501637	-10.318998915800645	0.0	-4.4814842878978585
50	54	Adaptive	68.85181615780357	198236.58360146685	0.40879768987892684	0.4737518849876458	0.0018969454589895592	-7.079546194596871	0.0	3.19626731498292
54	58	Adaptive	53.1728694859823	1281153.9024259	0.49802099233447145	0.7597734757897248	0.003440148007627643	-8.911977435964623	-2.395672549255598e-11	1.7709799440182024
57	62	Adaptive	10.894713127655544	2391.7503963112163	0.5070971981877677	0.2116150917943261	0.0040222650215529995	-3.5365365164532347	-1.2483856318413185e-06	3.6596779908318644
56	61	Adaptive	59.002003802002626	59334.72311184839	0.3413789325528909	0.35420640119262553	0.0013639423700145276	-6.689626637986572	0.0	3.0835066586161948
60	65	Adaptive	48.295459419622226	102070.71196408583	0.4224151617991923	0.4738200788975568	0.0022396565495691055	-6.615205924159826	0.0	-2.872947429516314
