listID	BCID	TAG	k	a	b	s_mean	s_var	log_normalization	log_prob_survive_cummulated
117	117	Adaptive	72.10126328818355	291130.8140146133	0.38264312633412506	0.5677160423679438	0.04309946786436998	-8.337446729191035	0.0
124	124	Adaptive	10.15169224469228	3947.791220452977	0.38016932849459556	0.1565659583552109	0.08921326209841383	-3.950046170072741	-2.49962419477553e-05
121	121	Adaptive	37.60280852126899	64965.79973692657	0.4280644224315836	0.569475094032142	0.058476362739475006	-6.637149357520774	0.0
125	125	Adaptive	31.836485168785902	28891.701306518593	0.40140261645234565	0.28208837512892926	0.05494231654044768	-5.508778466527093	0.0
129	129	Neutral	53.66377976277782	74452.36397418773	0.43352562527694505	0.3524702793527211	0.05635222482874111	-6.514200900492846	0.0
123	123	Adaptive	40.86030746637159	51047.98053387466	0.39672938833496646	0.3565562781604725	0.0502602213307238	-6.26633018765103	0.0
120	120	Adaptive	52.909311476775024	66352.76329544562	0.4124148740421773	0.3411757656342677	0.05196883620427104	-6.353769096254653	0.0
130	130	Adaptive	38.68216120274807	26915.71941020983	0.3992333351983145	0.05112591094286491	0.0512949592126769	-5.396430483315314	0.0
128	128	Adaptive	52.70826470186942	81092.62128478082	0.439237835739269	0.345210973712207	0.05634045804758448	-6.387430289555281	0.0
127	127	Adaptive	77.55498484384046	199980.36776444904	0.407599404156537	0.34739922770935866	0.04741275204625974	-7.490277201452343	0.0
126	126	Adaptive	56.37261064534447	135943.89859702796	0.42127754763230113	0.5136891631403676	0.053007608861883965	-7.253315108329883	0.0
122	122	Adaptive	65.78449599172419	127282.37577883835	0.42298216926537163	0.36303606870940447	0.05187128153909839	-6.845271717543617	0.0
131	131	Adaptive	46.374361290689066	55690.76489207091	0.38638773952018696	0.39762248032581776	0.046825254043791543	-6.496178399111273	0.0
140	140	Adaptive	83.3401836489769	307790.317095742	0.3949248653990016	0.4596198409611944	0.04521152132117959	-7.973488417080993	0.0
132	132	Neutral	73.70237233378124	236369.6395852145	0.4375281578619412	0.3262989274170698	0.05448372738703488	-7.138801379530582	0.0
133	133	Neutral	50.07139201362887	132540.57277790297	0.4295025416716929	0.6508469558580223	0.05538785791134094	-7.468162571714565	0.0
135	135	Neutral	36.8544326914947	66643.64509690991	0.39911685198873736	0.6224000811364157	0.05401603645884344	-6.819028840905764	0.0
139	139	Neutral	27.045866100544206	46773.31587035482	0.3852732774165701	0.6939175719968129	0.05361539282506926	-6.779692767105764	0.0
138	138	Adaptive	8.209312906064502	4375.326516209698	0.3169785493361758	0.4661823043429497	0.10284873544048942	-4.380077920456552	-0.0007491662672355654
134	134	Adaptive	55.4949017044058	73054.0344953833	0.40510840085804	0.26154395405197367	0.049672703057985455	-6.343748562662461	0.0
136	136	Neutral	48.30925568657378	83826.82960185623	0.3698486631667369	0.5173276365936326	0.04308883943457711	-7.083256855804271	0.0
143	143	Adaptive	20.60769283187778	21144.154388101328	0.36959398419018147	0.48630682708483675	0.05958683958938956	-5.823188613982586	-2.1094237467877998e-15
142	142	Adaptive	27.764691235112114	46586.51669249623	0.37293782854767854	0.7229343837595473	0.05392018404756086	-6.949077051480428	0.0
144	144	Neutral	38.712498676762195	43251.393053119325	0.403647789645625	0.3591518865290913	0.05292007041431195	-6.037670034332401	0.0
145	145	Adaptive	44.499557004159676	49595.72947941169	0.41704862513604407	0.34753074261306766	0.05498868160002387	-6.1618987151107145	0.0
141	141	Neutral	46.72776102580111	107384.31428746854	0.3741311626316995	0.6540164097280649	0.045102685409534105	-7.415747892273316	0.0
147	147	Neutral	17.72016646662699	13689.885780240022	0.40078575313115133	0.2559572885751116	0.06638879626042513	-4.882755646552029	-4.2643666375861355e-13
137	137	Adaptive	79.15674148511113	126459.32514104324	0.4041858546233536	0.1026334536622891	0.04674499172685512	-6.804577475149048	0.0
150	150	Adaptive	50.898222222428664	77145.82535112476	0.42581212744145813	0.41439053324631875	0.05514282095543036	-6.497294965432098	0.0
151	151	Adaptive	50.15355895482418	85515.1645385324	0.43653574446923243	0.41607908339631977	0.057767662099999395	-6.713549968299421	0.0
146	146	Adaptive	85.25731433023533	239511.07579237103	0.3941037116821951	0.3018385920103793	0.044143567595260585	-7.431422605825458	0.0
148	148	Neutral	42.102448829394156	49809.687493309146	0.42415143396159316	0.2818068355421665	0.0554768361981289	-6.075361051572188	0.0
153	153	Neutral	19.033378047632347	17487.453213623718	0.3762502717124319	0.4617693415005009	0.06364194747206275	-5.592593814897228	-7.910339050457369e-13
156	156	Neutral	6.484140774289001	1716.1055510740669	0.4301422145850476	-0.005118220375883941	0.12350025101491499	-3.040831238303336	-0.0002615204090571042
154	154	Adaptive	14.634528283808761	16030.209071444731	0.37065394463534995	0.596673268074285	0.06974690520749105	-5.685167654300026	-9.36889455344435e-10
152	152	Adaptive	45.75065583755181	90057.55230262893	0.39569384959389003	0.6040214894621471	0.050626501950723504	-7.0653296704780155	0.0
157	157	Neutral	64.82587982462448	131194.66818368324	0.42267116511193786	0.41321110170610836	0.053959539472367785	-7.219159129126616	0.0
149	149	Adaptive	39.40109744374937	48670.08780644482	0.3743354676243358	0.3705321427888263	0.04584506540519098	-6.263979302088421	0.0
155	155	Adaptive	63.66703475779938	177419.4220226874	0.39638096480688567	0.5780525485976312	0.04663331068391591	-7.665303228378904	0.0
159	159	Adaptive	24.03107291506466	22082.912949135127	0.3877736638465535	0.3844245578683553	0.058621820050594325	-5.568172934297967	0.0
161	161	Adaptive	35.51057246445063	27622.30565205749	0.4392111798524617	0.10849311693085179	0.059379895168318354	-5.130303738724032	0.0
158	158	Adaptive	23.117956506604568	25522.12758328536	0.4076414879544817	0.4687337931534109	0.06329593520063805	-5.850162775127596	0.0
168	168	Adaptive	11.02656022503121	2230.023897799591	0.48340546032889475	-0.36974645184427146	0.10014489977033825	-3.1765245938004805	-3.6228836788290622e-06
164	164	Adaptive	26.94484778081621	16654.627452697154	0.4269702031434664	0.08099956469767669	0.06223663524533751	-4.957105340042424	0.0
163	163	Neutral	18.111274706736726	13821.218001265168	0.3704047406498396	0.35031413570404496	0.06140904950458725	-5.200058045089803	-1.2989609388115175e-13
160	160	Adaptive	27.38738646426672	16372.02035970895	0.4062168469669501	0.09449674933275376	0.05896729023345267	-4.847245189571633	-1.1102230246251565e-16
162	162	Neutral	36.544528654875776	26554.185435100095	0.40944625490800823	0.1512781080158194	0.053650700793833786	-5.218094185632769	0.0
171	171	Neutral	39.055165426114314	48630.5250152084	0.4088528435107336	0.41755932663779566	0.053916832739934015	-6.242196700179144	0.0
165	165	Adaptive	34.27193503875581	25949.99361684743	0.39093920878483307	0.17242467523439944	0.05242130193479779	-5.374870099261103	0.0
167	167	Adaptive	35.25773185274593	40935.48348372888	0.3802662026101571	0.4283706862457212	0.04949160504470239	-6.29015845357282	0.0
166	166	Adaptive	38.778716777232866	53054.64835071551	0.4002666185797161	0.43679321107811764	0.05153932812455314	-6.311807188149597	0.0
172	172	Neutral	69.14349803195589	121141.9352224911	0.44222729951673373	0.27253374437884686	0.055744494878973046	-6.659331689102088	0.0
