BCID_Bayes	s_mean(1/cycle)	s_std(1/cycle)	called_timepoint
161	0.3157146826906533	0.0332774103175345	9
162	0.19575490667632517	0.041217832844590956	9
163	0.3199824649272319	0.04861768606799259	9
164	0.38797383252595	0.03910451002982443	9
165	0.3687011100671388	0.04119305987672812	9
166	0.35803390098335675	0.03790120922219169	7
167	0.4541989415717586	0.038647151268674816	9
169	0.34048475985704424	0.041124573114464484	9
170	0.4964926911873219	0.04174580551117274	9
171	0.6137280501893905	0.029210723907338833	9
172	0.33237178226830544	0.028226178825026926	9
174	0.3095589703773355	0.03160219375147426	9
175	0.4164872633223629	0.03715094588567452	9
177	0.5301984673659321	0.03873559679151666	9
178	0.2656120767477633	0.034027957156073325	9
180	0.7607553665538505	0.04864869877023701	9
182	0.7372362314949558	0.029519762892099965	9
183	0.3638551022573044	0.032402808765669665	9
186	0.5032243526319112	0.0333926173345615	9
187	0.14014340697993566	0.030688198648743812	8
188	0.4062964031534579	0.041021283792843914	9
189	0.7952670139353328	0.03720811835450876	8
191	0.19012514622120588	0.03532447537523737	8
192	0.7953254880738913	0.03245770174826023	9
193	0.3146978106230844	0.03697940874978341	9
194	0.6588537473229827	0.04462565512744831	9
196	0.2997206807945624	0.047581813945286065	9
197	0.25684185917150215	0.037115960252020894	9
198	0.6730022715337977	0.0356707338010678	9
199	0.5116317397939363	0.053183687417576724	9
201	0.508720568232825	0.03947617441815057	9
202	0.6048641749457023	0.027460187717434182	9
203	0.44989782049917176	0.03343904474284098	9
204	0.18713725757474595	0.0346377233948278	8
205	0.40983375098320474	0.04990045095527166	9
271	0.2337759422337511	0.055019934476811375	5
449	0.1296550863236822	0.031573499527029404	9
456	0.18605514371295856	0.04604599621144135	9
576	0.2504437594379188	0.05885443500238829	8
583	0.20665067467685808	0.04426500224839009	7
646	0.23104161056471925	0.04713587640595876	9
656	0.15614226314033833	0.03581379913474689	9
720	0.2208161748492088	0.04629501364879074	9
923	0.17558877567259845	0.04021166716268633	9
995	0.17464206931630388	0.04293769196707205	8
998	0.2572090391958226	0.04623409128888865	9
1017	0.24767318787502077	0.045272110364359956	9
1052	0.2790245809348463	0.04995693706820714	9
1070	0.18716929242107916	0.04271051894592457	8
1124	0.19198773062547467	0.04552004121423301	8
1153	0.2573538320783552	0.059009913830913266	6
1335	0.19127091080960917	0.04365889881536762	7
1361	0.26277152727358455	0.06287429808589687	6
1410	0.16466624817608505	0.039899644587530585	7
1411	0.16957229210972216	0.03956502936598117	8
1442	0.1480317278305327	0.03550204654428994	7
1445	0.22301459140322868	0.05565533709854734	6
1460	0.13617375152264158	0.033456551004860086	9
1496	0.1426712932011165	0.03264006281822014	9
1540	0.2841924424116862	0.06347761114006877	7
1552	0.2031691448142703	0.05004673107157956	9
1560	0.21535151735010044	0.05059062756157806	6
1574	0.1578324921755359	0.03935121145831063	8
1698	0.26415939028540797	0.05843890066288983	7
1747	0.19059278022815757	0.04527040192154149	7
1804	0.15480950679545177	0.03647718647499952	9
1815	0.3235881853678983	0.06685697625402462	5
1867	0.19698234181818483	0.04568096809434615	7
1874	0.2564230926589355	0.051370862970531714	9
1913	0.17895102800999976	0.0431986513094414	8
1975	0.10983201879390858	0.016076070426908444	8
1990	0.24906508132951824	0.04618274396945108	9
2020	0.37218372470091826	0.0645496377903586	6
2113	0.19463309007858756	0.038576400885878506	7
2239	0.2999872302006364	0.0679448138961699	8
2296	0.18172411624852483	0.04505916481746981	6
2443	0.2848170553469041	0.06197097249785904	7
2486	0.1775815474274034	0.039505235118339276	6
2509	0.15164496682812534	0.03377856103290572	9
2519	0.2026945235550212	0.048824697596664864	8
2614	0.14517592664551499	0.03437876123011768	9
2649	0.22072847478732846	0.052822189313648786	7
2661	0.21388653624857862	0.04693394390297223	7
2663	0.19305388903226323	0.046924968994573706	8
2672	0.14098714990288183	0.035190106715715604	9
2742	0.22212299997328855	0.05481462215129924	7
2759	0.1489024441650315	0.021766120784150248	9
2946	0.17541552985140252	0.03447624984796515	9
2986	0.23100076717488174	0.05115392513216588	5
3012	0.21380894455130986	0.05217089474848632	8
3018	0.2568283041308802	0.056586674530891924	7
3029	0.1574897234880364	0.037165482933125264	7
3036	0.18935468914441497	0.03646671164208732	9
3041	0.26054498158478545	0.056313533639212085	5
3109	0.2156717727929789	0.053387081705480025	5
3110	0.21793331975796795	0.03853466652045951	9
3228	0.16257746282923213	0.040637435902027126	9
3301	0.1606907423939811	0.04006526260828318	8
3308	0.2234492022871912	0.04413943901082349	7
3335	0.2225135171795674	0.046925942196308836	7
3403	0.14340827303713358	0.02805358807457453	9
3437	0.3442393437153182	0.07337783799418982	9
3447	0.21372528379460687	0.04657963616096059	8
3546	0.28809477695131364	0.06879533577441316	7
3555	0.241868131789238	0.05970307803566881	6
3589	0.2511768344725402	0.06265734035826537	5
3608	0.28593201104122684	0.06225812037267416	6
3615	0.21886178046758478	0.045939982669291876	9
3635	0.1595919693775308	0.037513527544609446	9
3663	0.22886627961076847	0.04769106038439998	7
3682	0.14656935023069737	0.03561389348212347	8
3688	0.20349081381179884	0.05044491363353423	7
3702	0.13404877233308043	0.032235474945175493	9
3716	0.148628932990023	0.03464452359754572	9
3740	0.2272904020446731	0.03868379769923528	9
3790	0.29391773422188433	0.06477504020447725	5
3867	0.18423882149343257	0.04406962439663811	7
3954	0.20484116798497903	0.048944748394562844	7
3982	0.20625658261900842	0.04552888460211006	9
3994	0.27987306633273384	0.06065697980124217	6
4032	0.07652210150560279	0.015989058479815577	9
4092	0.24145548748447537	0.05518003855157055	6
4187	0.2451770991592056	0.049335657293945005	8
4200	0.20791540250233112	0.04218601171140826	9
4208	0.1702646125579374	0.041536737631292404	7
